# Name,X,Y,PHASE,MAG
FE_MEBT:BPM_D1056,FE_MEBT:BPM_D1056:XPOS_RD,FE_MEBT:BPM_D1056:YPOS_RD,FE_MEBT:BPM_D1056:PHASE_RD,FE_MEBT:BPM_D1056:MAG_RD
LS2_WD04:BPM_D3428,LS2_WD04:BPM_D3428:XPOS_RD,LS2_WD04:BPM_D3428:YPOS_RD,LS2_WD04:BPM_D3428:PHASE_RD,LS2_WD04:BPM_D3428:MAG_RD
LS2_WD05:BPM_D3490,LS2_WD05:BPM_D3490:XPOS_RD,LS2_WD05:BPM_D3490:YPOS_RD,LS2_WD05:BPM_D3490:PHASE_RD,LS2_WD05:BPM_D3490:MAG_RD
LS2_WD06:BPM_D3552,LS2_WD06:BPM_D3552:XPOS_RD,LS2_WD06:BPM_D3552:YPOS_RD,LS2_WD06:BPM_D3552:PHASE_RD,LS2_WD06:BPM_D3552:MAG_RD
LS2_WD07:BPM_D3614,LS2_WD07:BPM_D3614:XPOS_RD,LS2_WD07:BPM_D3614:YPOS_RD,LS2_WD07:BPM_D3614:PHASE_RD,LS2_WD07:BPM_D3614:MAG_RD
LS2_WD08:BPM_D3676,LS2_WD08:BPM_D3676:XPOS_RD,LS2_WD08:BPM_D3676:YPOS_RD,LS2_WD08:BPM_D3676:PHASE_RD,LS2_WD08:BPM_D3676:MAG_RD
LS2_WD09:BPM_D3738,LS2_WD09:BPM_D3738:XPOS_RD,LS2_WD09:BPM_D3738:YPOS_RD,LS2_WD09:BPM_D3738:PHASE_RD,LS2_WD09:BPM_D3738:MAG_RD
LS2_WD10:BPM_D3800,LS2_WD10:BPM_D3800:XPOS_RD,LS2_WD10:BPM_D3800:YPOS_RD,LS2_WD10:BPM_D3800:PHASE_RD,LS2_WD10:BPM_D3800:MAG_RD
LS2_WD11:BPM_D3862,LS2_WD11:BPM_D3862:XPOS_RD,LS2_WD11:BPM_D3862:YPOS_RD,LS2_WD11:BPM_D3862:PHASE_RD,LS2_WD11:BPM_D3862:MAG_RD
LS2_WD12:BPM_D3924,LS2_WD12:BPM_D3924:XPOS_RD,LS2_WD12:BPM_D3924:YPOS_RD,LS2_WD12:BPM_D3924:PHASE_RD,LS2_WD12:BPM_D3924:MAG_RD
FS2_BTS:BPM_D3943,FS2_BTS:BPM_D3943:XPOS_RD,FS2_BTS:BPM_D3943:YPOS_RD,FS2_BTS:BPM_D3943:PHASE_RD,FS2_BTS:BPM_D3943:MAG_RD
FS2_BTS:BPM_D3958,FS2_BTS:BPM_D3958:XPOS_RD,FS2_BTS:BPM_D3958:YPOS_RD,FS2_BTS:BPM_D3958:PHASE_RD,FS2_BTS:BPM_D3958:MAG_RD
FS2_BTS:BPM_D4006,FS2_BTS:BPM_D4006:XPOS_RD,FS2_BTS:BPM_D4006:YPOS_RD,FS2_BTS:BPM_D4006:PHASE_RD,FS2_BTS:BPM_D4006:MAG_RD
FS2_BBS:BPM_D4019,FS2_BBS:BPM_D4019:XPOS_RD,FS2_BBS:BPM_D4019:YPOS_RD,FS2_BBS:BPM_D4019:PHASE_RD,FS2_BBS:BPM_D4019:MAG_RD
FS2_BBS:BPM_D4054,FS2_BBS:BPM_D4054:XPOS_RD,FS2_BBS:BPM_D4054:YPOS_RD,FS2_BBS:BPM_D4054:PHASE_RD,FS2_BBS:BPM_D4054:MAG_RD
FS2_BBS:BPM_D4087,FS2_BBS:BPM_D4087:XPOS_RD,FS2_BBS:BPM_D4087:YPOS_RD,FS2_BBS:BPM_D4087:PHASE_RD,FS2_BBS:BPM_D4087:MAG_RD
FS2_BMS:BPM_D4142,FS2_BMS:BPM_D4142:XPOS_RD,FS2_BMS:BPM_D4142:YPOS_RD,FS2_BMS:BPM_D4142:PHASE_RD,FS2_BMS:BPM_D4142:MAG_RD
FS2_BMS:BPM_D4164,FS2_BMS:BPM_D4164:XPOS_RD,FS2_BMS:BPM_D4164:YPOS_RD,FS2_BMS:BPM_D4164:PHASE_RD,FS2_BMS:BPM_D4164:MAG_RD
FS2_BMS:BPM_D4177,FS2_BMS:BPM_D4177:XPOS_RD,FS2_BMS:BPM_D4177:YPOS_RD,FS2_BMS:BPM_D4177:PHASE_RD,FS2_BMS:BPM_D4177:MAG_RD
FS2_BMS:BPM_D4216,FS2_BMS:BPM_D4216:XPOS_RD,FS2_BMS:BPM_D4216:YPOS_RD,FS2_BMS:BPM_D4216:PHASE_RD,FS2_BMS:BPM_D4216:MAG_RD
FS2_BMS:BPM_D4283,FS2_BMS:BPM_D4283:XPOS_RD,FS2_BMS:BPM_D4283:YPOS_RD,FS2_BMS:BPM_D4283:PHASE_RD,FS2_BMS:BPM_D4283:MAG_RD
FS2_BMS:BPM_D4326,FS2_BMS:BPM_D4326:XPOS_RD,FS2_BMS:BPM_D4326:YPOS_RD,FS2_BMS:BPM_D4326:PHASE_RD,FS2_BMS:BPM_D4326:MAG_RD
